Region,Pollution Ranking,Country,Year,PM2.5,CFR,Rainfall,RH,Temp,Urban,Pop density,Obesity%,Diabetes,Hypertension%,oldage,GDP
Asia,5,India,2022,58.1,0.179047323,1337.98,57.57,25.22,35.872,483.679,23.9,9.6,31,10.173086,3567551.675
Asia,5,India,2020,58.1,0.17552077,990.7,60.06,24.67,35.872,483.679,23.9,9.6,31,10.173086,3567551.675
Asia,5,India,2024,54.4,0.167683717,1414.07,58.65,25.32,35.872,483.679,23.9,9.6,31,10.173086,3567551.675
Asia,5,India,2023,53.3,0.12990298,1093.47,59.09,24.88,35.872,483.679,23.9,9.6,31,10.173086,3567551.675
Asia,15,Indonesia,2021,39.3,0.96,3169.22,91.66,25.55,57.934,147.148,6.9,10.6,40,10.362277,4960.33
Asia,15,Indonesia,2022,40.4,0.86,3501.14,91.54,25.56,57.934,147.148,6.9,10.6,40,10.362277,4960.33
Asia,15,Indonesia,2023,37.1,0.78,2826.52,90.85,25.93,57.934,147.148,6.9,10.6,40,10.362277,4960.33
Asia,15,Indonesia,2020,47.7,0.69,3238.89,91.62,25.8,57.934,147.148,6.9,10.6,40,10.362277,4960.33
Asia,15,Indonesia,2024,35.5,0.5672,3743.51,91.53,26.31,57.934,147.148,6.9,10.6,40,10.362277,4960.33
Asia,25,Laos,2020,22.4,0.157613967,1782.33,82.27,23.61,37.592,33.211,15.3,6.2,29,6.986456,15843.15573
Asia,25,Laos,2022,27.6,0.074745398,2063.33,84.32,23.01,37.592,33.211,15.3,6.2,29,6.986456,15843.15573
Asia,25,Laos,2021,21.5,0.074294205,1785.63,82.4,23.33,37.592,33.211,15.3,6.2,29,6.986456,15843.15573
Asia,25,Laos,2023,29.6,0.062287832,1391.92,79.66,24.12,37.592,33.211,15.3,6.2,29,6.986456,15843.15573
Asia,25,Laos,2024,28.7,0.054685558,1490.76,77.92,24.74,37.592,33.211,15.3,6.2,29,6.986456,15843.15573
Asia,58,Malaysia,2020,15.6,0.160568746,3944.98,93.14,25.71,78.214,106.913,15.6,19,41,10.596843,399705.1693
Asia,58,Malaysia,2024,18.3,0.09557,4172.18,93.19,26.36,78.214,106.913,15.6,19,41,10.596843,399705.1693
Asia,58,Malaysia,2021,17.4,0.075858145,3663.02,92.66,25.59,78.214,106.913,15.6,19,41,10.596843,399705.1693
Asia,58,Malaysia,2022,17.7,0.039572616,4268.26,92.83,25.62,78.214,106.913,15.6,19,41,10.596843,399705.1693
Asia,58,Malaysia,2023,18.5,0.028629418,3478.04,92.86,26.06,78.214,106.913,15.6,19,41,10.596843,399705.1693
Latin America,55,Mexico,2021,19.3,0.106145555,311.37,43.73,20,81.3,66.219,28.9,16.9,32,11.898048,1789114.435
Latin America,55,Mexico,2022,19.5,0.088454221,179.82,38.87,20.28,81.3,66.219,28.9,16.9,32,11.898048,1789114.435
Latin America,55,Mexico,2024,17.4,0.08553,356.52,44.57,20.37,81.3,66.219,28.9,16.9,32,11.898048,1789114.435
Latin America,55,Mexico,2023,20.1,0.073031303,358.05,42.02,20.54,81.3,66.219,28.9,16.9,32,11.898048,1789114.435
Latin America,55,Mexico,2020,18.9,0.065484628,277.97,42.75,20.02,81.3,66.219,28.9,16.9,32,11.898048,1789114.435
Asia,7,Nepal,2020,48.5,0.428629422,277.97,42.75,20.02,21.451,201.756,4.1,8.7,36,9.796389,40908.07337
Asia,7,Nepal,2023,40.1,0.332385742,358.05,42.02,20.54,21.451,201.756,4.1,8.7,36,9.796389,40908.07337
Asia,7,Nepal,2022,46,0.290697674,179.82,38.87,20.28,21.451,201.756,4.1,8.7,36,9.796389,40908.07337
